subjectid IFNAR1 CHUK MAP3K7 MAP2K6 ATG4C TIRAP HMBS IKBKB MAP2K4 PEX16 PYCARD AMPD2 NT5DC2 MAVS FZD3 ECSIT MAP2K2 MAPK3 PSTPIP1 CDC37 ZFYVE16 GFRA2 LRRFIP1 TNFRSF1A TMEM173 TAB1 CARD9 ST8SIA6 IKBKG RBM6 MVK SLC46A3 ATG9A STAT6 IRF3 LRMP AP2A2 UNKL WDFY4 P2RY13 ZNF280D IL7 MAPK1 TYK2 ABHD10 ELP2 IRF5 SCG3 ADORA3 NFXL1 MAU2 CARD8 GNAS OTUD5 IL12RB1 CD24 HPS1 DCTN5 TAB3 ATRIP PLAU NLRX1 FGD4 HRH4 PTMA IRAK1 FADD GCOM1 SAMHD1 IFNGR1 PPP6C HMGB1 FAM120AOS MAPK8 LYZ TLR6 ACP5 CPNE1 TMEM86A SCN9A MAPK14 TLR5 IFNAR2 ADCY3 CD93 RRS1 SIGLEC9 CYBRD1 IRAK4
0920V042111 6.54534296840247 7.6287148068223 7.7473755765506 9.09649852498232 7.05269115665808 4.71220724274248 6.04992295298008 7.46657588317013 1.29872520996568 6.10785575691313 9.76337657873671 4.32948746373636 6.89709862994639 7.85278472938975 3.49602665033929 4.37738215384067 8.13640751162613 6.10785575691313 6.92153441593392 10.6825039737285 7.24568188689001 2.707530755533 10.4263193566413 9.89465784705026 5.89401484884873 6.82120527992708 8.90554519649352 3.0989556975899 8.41408283563846 8.30376892507499 4.51220657739473 6.82983773674258 7.193124861391 10.0281701544518 5.64286803866856 7.13161522413042 8.1047469777246 3.49602665033929 9.67630973777457 2.1686646694013 5.89401484884873 3.87537244247483 10.2654046827269 7.52621667401939 6.17714614615639 7.96675432189984 10.1434580258395 2.1686646694013 8.92178678977186 10.9374107791661 6.88886052024757 6.17714614615639 12.0438199405081 8.32834563934681 4.17545383506394 5.45476468515304 8.60722116565491 7.7699799565719 7.36332861755177 4.74908324497751 7.82282780498007 3.87537244247483 6.50279035255859 2.54926867161627 10.7125719557006 8.52986361275327 4.85437214386228 4.22864677422954 11.4275195466969 6.31879512756664 8.39965937092945 8.67106493049922 7.11051510336362 6.88886052024757 7.47210081109381 5.10252231261009 11.7036098384912 8.27561025320012 1.65019758046705 7.01533774217572 8.03926202545073 -1.23732769027453 7.9861913965162 6.90528996517204 6.21717724728284 7.84854306506008 4.22864677422954 6.17714614615639 6.92153441593392
1226V042811 7.22676966422794 8.10792910276236 7.56201661488756 9.30562964730402 6.97228712125895 4.11072051615992 5.27235890641727 7.37654094482455 2.72026103960174 5.8191467041122 9.45368867113184 4.33098663638798 5.85510358188861 7.31977184889206 4.80542842286442 3.34369768813754 8.18411674953449 6.35943061440213 5.92443560299697 10.5628662085997 8.3157453460247 5.21816680605368 10.6758716799715 10.2140624077209 5.7444273507325 7.21298035933834 8.68386013174691 4.33098663638798 8.45698291469635 8.18057856249831 4.72997619443496 6.82595723622909 7.35786502006413 10.025768237303 5.39955092287105 7.49522613277393 8.85121416482609 3.125517518088 9.3984090984815 2.15466386374752 6.15826610042772 3.61933213075096 10.1674559857201 7.63622114445611 6.49094725161195 7.5065748248506 10.211464126891 1.90312509675155 8.43041591257605 9.45368867113184 6.86174685551923 5.62454984002198 11.7991691202616 8.44228390785959 3.61933213075096 1.21124739211389 8.30927947507441 8.16275628469624 7.38885858670133 4.76819551666545 8.51713375249773 4.11072051615992 6.93076785182068 2.55520179333125 10.9564692073059 8.73299881242913 4.76819551666545 3.9201986101105 11.7394009257557 7.11998641211477 8.39421466036116 8.97075152234773 7.28724070641753 6.64266463458159 7.87822242521962 4.91168711025498 12.1592214346021 7.99159787506861 2.15466386374752 6.7323947952376 8.17347604949034 0.680732675415107 8.36333718337699 6.98044949121231 5.92443560299697 9.05625485565089 5.16185936515172 6.17258577174478 6.98044949121231
1249V050311 6.87363812921374 7.82289935527888 7.70867450101586 9.02762781986189 6.97123712952665 3.7918440380501 6.05265034299177 7.26095821008473 2.69230836449918 6.07037953742408 9.64853469062871 4.16623955283159 6.25224684153786 7.81240220998949 3.87489977777766 4.51592834091957 8.32559194492431 6.53361061848012 6.99927419082894 10.5945159672241 7.38656950771115 3.70371312777143 10.4681407038453 9.76334501515774 5.5698968242595 6.74707416793007 9.16804179546558 3.28488404933021 8.51875596755238 7.94804886747376 4.40851539849859 6.67936930879168 7.31401141203536 9.79701111032494 5.54475117608532 7.32881790547185 8.42884452123376 3.15797193684799 9.42389678121094 1.66922475138614 6.03470056194626 2.49638815452392 10.2540660528767 7.66849740322811 5.64280640308161 8.26913759357327 9.91209151700425 3.15797193684799 9.08762147414001 10.3045625568881 6.80116466602657 5.61891028673545 11.9404995042644 8.35119988263519 4.35165306154291 4.87993536767495 8.35482133427858 7.64502650360829 7.13182596860533 4.83914975282845 8.20236605620645 4.02791139628362 6.60832997185983 1.23859039705628 10.8241245047064 8.45944185155692 5.1030457263444 3.70371312777143 11.5154733835631 6.13919472981737 8.34028066274614 8.91929389713611 7.18974838752575 6.50781873530033 8.47948540461916 4.56677748241532 12.036639502633 7.62716929729499 1.23859039705628 7.18974838752575 8.06762367213357 1.23859039705628 7.82811942444165 6.83267154238836 6.07037953742408 8.7259061640063 4.23072827928331 5.5698968242595 6.8117435954878
1232V050311 6.89720182003728 8.17193474725495 7.61916525086424 9.03734109169149 6.82058053843437 4.62418332563087 5.75803907236566 7.68307701468444 4.49865244354701 5.84657574696732 9.45847879050675 4.20914582635203 6.49865244354701 7.72572135209293 4.5417211654389 4.45425832418856 8.42580187813933 6.55229040714908 6.38499566175144 10.4703701624091 8.16506475788791 6.26161324624616 10.803539553006 10.490431936742 6.44294301096072 7.0241139325195 8.17877217730851 4.36114891979707 8.41715432952582 8.1990921616881 5.06896816830376 7.47106661187511 7.16850384185468 9.97977913328363 5.20914582635202 7.18217877875176 9.27603230615912 2.91368994282585 9.06158863793817 4.15469804232965 6.50954075968975 3.91368994282585 10.1512258504228 7.36114891979707 6.11246980694035 7.61916525086424 10.0597378422502 4.62418332563087 8.34300157308682 10.3498336065692 6.93807410145281 5.56278278096673 12.0025986118647 8.4401002611919 4.88052307889065 1.77618641907592 8.27762556423479 7.75346634257583 7.39089626319113 5.3369013735504 8.81400788451089 3.45425832418856 7.26161324624616 0.454258324188556 11.0349879757875 8.76259735432796 3.91368994282585 4.58354134113352 11.8551377604707 6.94611142051823 8.38794897914079 9.1231433084548 7.3490760874965 6.66371168981751 8.69981103044424 4.70218583763214 12.1120233594539 8.01267903745722 3.15469804232965 7.78964867888248 8.27124194744394 -0.545741675811444 8.35210378019407 6.32462304377196 7.03922082490971 8.55492066319376 4.36114891979707 6.29974837513293 7.01650074840963
0398V050311 6.28331876374687 7.74978450183272 7.63695571836157 6.30385569474956 5.62680300200068 4.3490220107977 5.5255196661635 7.13933702955684 -1.84080254808232 5.93398451151886 8.25854526232088 5.33910654193262 5.75165448918576 7.05098115513599 1.85963717005877 4.60214094776641 8.53749230782958 6.63897771594678 7.8648298392791 10.0058631338174 6.55580223309954 0.481125546805045 9.79989428948778 7.91241420109664 6.16482200111156 6.86310102536235 6.98892018700374 2.0660880475262 7.93233665863737 7.85094097108896 4.49904745480231 4.22528664237545 6.87000388561703 9.30576612765847 6.03571439848268 6.59798930449594 6.88371130503763 2.91408495408115 7.21718917467686 0.481125546805045 5.00468750286206 1.61862907055498 9.9877306623733 7.23333891467019 5.67489729020173 8.13504541992447 9.26576039236257 1.61862907055498 6.53857581898894 7.70801936037643 6.63897771594678 5.96009735183799 11.5080638946742 7.6570492888688 4.8456979791009 2.55151487469644 7.40949586982402 7.91908563513952 7.00782039234702 5.25722953487821 6.01094649333374 3.77390729603289 5.45381820080931 0.481125546805045 10.9142936622249 8.51344683386292 5.14788213868985 -1.84080254808232 10.4976552950485 4.18156526494614 8.07058943976114 9.18225870165302 6.72525149008877 6.31401556096979 6.96976908665883 3.58546220661978 12.2485651693563 7.78673133639047 0.481125546805045 0.481125546805045 7.54074040310227 1.32912245335999 8.13504541992447 6.34407279482597 3.58546220661978 8.28202544672535 3.11339376230456 2.55151487469644 6.58126221809049
1245V051111 6.72815502953658 8.23492279987754 7.58075751076385 8.99938291301326 6.58267216936059 3.95498879365481 5.86345524418886 7.53402646041886 3.75217191065512 5.83803264730896 9.97590044199654 3.75217191065512 6.74192787915832 7.6770964290939 5.35516833420654 3.38180346071 8.47236776150138 6.38619522982716 6.50403172012102 10.7412852055828 7.88378624247457 6.62787780107811 10.6364288419729 10.7231731184317 6.8976955686073 7.00439103373108 8.84841466583608 4.21407601497194 8.54879317112777 7.97990136362029 5.42513089237411 7.27454987399825 7.24583857735673 9.95831085099272 5.96088939509449 6.35068094321422 8.90460026424795 2.66810764586665 9.18727209567271 4.43364239222962 6.15867777631285 3.38180346071 10.1093919177937 7.64813294610538 6.42085623727378 7.29337813524134 10.1383191032572 4.36410145897655 7.31196383564137 9.61717561171956 7.35740680640254 6.42085623727378 11.9469287650774 8.41764191353591 4.36410145897655 3.95498879365481 8.58744772830866 7.71947974758767 7.25547263680311 4.99003574075401 9.34674299368939 4.21407601497194 6.35068094321422 2.66810764586665 10.8978878126 8.6063934377507 4.73849697375804 5.61670849336 11.7260993686258 6.2957144839963 8.36521422034362 9.23917764403436 7.33031314552026 6.59789864358524 6.95794211104416 5.24341997655408 11.541551758382 7.82676782121314 3.38180346071 8.12359926649511 8.26384998534104 1.19417645753423 8.28752065646458 6.21900831051417 6.83482309083307 7.87130880218326 5.16380280849071 5.52409734317513 6.74192787915832
0490V051211 6.99962449896426 8.21399077976179 7.9285028143042 9.64587258539855 6.60356178054059 4.53317245264919 5.57136877621014 7.70933951917101 2.06314571877269 6.25670437671874 9.53075126885569 4.22001456738956 5.54369032456319 7.85157748097285 4.79033029214631 3.99324370554254 8.5493556499317709 6.33952166184565 5.97522587048377 10.7229970115292 8.00153324681608 5.59852619064329 11.020247760335 10.5821443633081 6.38702208544958 6.94777003881565 9.43418648192104 3.81947663780583 8.81839421056419 8.38361088126407 5.3007755793534 6.20463153469017 7.35851134077658 10.1997905036935 6.56277616569409 7.65216415424536 8.66305856095982 3.90897478864493 9.96564305929691 1.71167334827132 6.25670437671874 3.12047889383864 10.3856829312713 7.90149790715133 5.91168407590292 8.13272248959339 10.6215664320414 3.81947663780583 8.47437039527915 8.43347968267073 7.36643281594724 6.2395547537852 11.9337187126265 8.73212650270303 3.99324370554254 5.72713646565912 8.90524119158414 7.68420756012058 7.65863002519565 4.88159834971363 8.62724369957225 4.88159834971363 6.37136174127756 4.07286087360591 11.040812413418 8.96123638511973 5.19798826105956 4.41593477736482 11.741912378039 6.18684770345436 8.68539545235804 9.48054211761278 7.6260069270654 7.18124499722498 6.76807748529919 4.41593477736482 11.5776198856952 8.18292809487754 1.2460097759225 7.96025529358863 8.18740677923771 -0.824379551968894 8.40299572165732 6.80351906390285 6.40251426160249 9.17025673854069 4.53317245264919 5.39672417339898 6.87189253195697
1227V051211 7.33764540214195 8.20103866675279 7.67490024206481 9.10044600538572 6.31101683073607 4.82171468251664 5.82472972027207 7.70138764200785 3.36379137038462 5.64536172765584 9.74082733545855 4.15925261386097 6.59150412365433 7.59238894124777 4.95976686382819 3.90953256130805 8.3254572723736 6.41069583497519 6.63337487497571 10.5905080547744 7.75926395033322 6.45806627507448 10.7833883776728 10.6571440945487 6.83821995401273 6.82623487955402 8.9120153806759 4.82171468251664 8.56785651297754 8.20103866675279 5.16402185800884 7.44342940579072 7.38743421225513 10.0357289033774 6.04755234737908 7.70138764200785 9.11775731707703 3.07059499404057 9.10789058887578 3.07059499404057 5.82472972027207 3.99766347158672 10.2493825641927 7.47447716845225 6.10819994773638 8.27784996680087 10.5564526422807 4.08071921131428 8.67865454673312 8.64493533632988 7.37925448777242 5.87213258950286 11.9905913203445 8.5714508967512 3.81566563784383 3.71526374088599 8.84528926687508 7.6614719190253 7.73382734578737 5.53187267184324 8.89490389716152 4.66904072412535 6.18529047476249 2.20625009339814 10.9507389742242 8.84528926687508 4.77259691595195 5.12541901878509 11.6811000136218 6.08826602036763 8.45563708601615 9.54632842500697 7.32065983386157 6.36171704214676 8.09014657032873 5.3429126407087 11.9497467640949 8.26014117471598 2.8981277980358 8.08512631283706 8.1296918652705 0.827738470144406 8.23769505813836 6.2761989709607 6.77727340316142 8.70179767328555 4.72174777445619 5.77571625779612 6.73943005201675
1273V051211 7.00611844020283 8.24450764404297 7.50156402319806 9.01255513530501 6.90909398580796 4.48314282637737 5.0904039942073 7.39093201749354 1.98960335341981 5.75848412766278 10.0348600707357 4.53609170632633 6.0590884537411 7.41939548161723 3.52303555350089 3.89142295948091 8.38823455013077 6.54580686115954 6.75010446204681 10.3385644070042 8.12429986655114 6.86838031281942 10.6625869058997 10.6603527667914 6.46618969309618 6.78333499161344 8.29530513389259 3.807765030434 8.46533678438621 7.74589630629442 4.63649360328417 7.53446613427729 7.27110639412238 10.0934432839361 5.19288695180855 7.39810070325401 9.38868447841787 2.87095885692119 9.27840872981164 3.89142295948091 5.713219393927 3.52303555350089 10.0790189872503 7.62889645544461 6.02244661010683 6.80507092126474 10.103345519469 3.52303555350089 8.65081888731612 6.80507092126474 6.98722854623191 5.73602927683508 11.7618745125556 8.13720997543853 4.18461933582495 -0.673361659302618 8.71250074133884 8.07594912528342 6.96808803276501 4.42817636715944 8.69514480220507 3.62431888933807 7.46106466091831 2.87095885692119 10.839543372604 8.30677791833654 5.28857029986386 4.42817636715944 11.770531574481 6.18046769255449 8.22448379670289 9.23302791353966 7.59810136860176 6.14681730311257 7.10581049498428 5.15952835486212 12.2671354751556 7.70022855540724 3.16794059467832 7.41939548161723 8.10252292415589 1.64856643558474 7.94502384295599 6.55865946323161 6.46618969309618 7.91535297627965 5.5164628995774 6.18046769255449 6.59654422323646
1202V051711 7.34689920239938 8.19030062016837 7.65273662994445 8.8079722458844 6.55558508425012 4.10283777891803 5.38006606633458 7.58432938456424 4.8495513496358 5.73589456784023 9.64383592463205 3.89262007152769 6.62533619269253 7.58432938456424 4.8495513496358 4.28628392001396 8.56338044500407 6.36485297238807 5.76708918944383 10.5407132541889 8.05150197335824 6.69186994394823 10.9073516736951 10.7167988841318 7.2618538811934 7.06254507297 9.13831258058796 5.73589456784023 8.66210143409843 8.13158671739965 4.10283777891803 7.50328308258019 7.23978545791407 10.051106009299 6.14500723316197 7.17147944452316 9.24464185359684 3.17439103994307 9.46277341900754 4.52397547773329 6.12106153753694 3.77478358123383 10.2710636928469 7.30500311736055 5.94129391826338 8.17293597674268 10.1696567089163 4.19747465305611 8.11349626041675 9.29901267951817 7.575545825981 6.69186994394823 11.9994010899778 8.66624413627274 4.66313822540492 6.46336871302914 8.33783783094528 7.575545825981 7.39761426754543 5.16270923489543 8.85228114239137 3.77478358123383 6.07194377097225 2.97508223171966 11.0313687002775 8.79667907635304 5.06568478050057 5.16270923489543 11.7941968672397 5.56892288378727 8.51366637839432 9.42170607405634 7.35718584163642 6.7398309823994 8.91281023125077 4.28628392001396 12.4395901661654 8.08901728433119 4.10283777891803 7.95997533932945 7.78815080497166 1.67962634819349 8.09517607720997 5.45859946888127 5.45859946888127 8.07038156720196 3.89262007152769 6.97173878864529 6.65898658213445
